team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	38	44	19876	3073	6823	620	1635	1233	1617	928	3581	1825	689	1194	350	1543	7999	32	0	0
BostonCeltics	40	41	19864	2926	6640	550	1610	1434	1937	926	3529	1752	633	1169	377	1573	7836	26	0	0
CharlotteBobcats	61	21	19821	3185	6762	716	1847	1332	1784	971	3616	2071	569	1113	565	1746	8418	25	0	0
ChicagoBulls	37	45	19834	2906	6565	453	1309	1350	1826	900	3369	1545	600	1072	477	1609	7615	36	0	0
ClevelandCavaliers	58	24	19735	3109	6527	610	1639	1469	1987	889	3452	1963	624	1207	560	1615	8297	23	0	0
DallasMavericks	41	41	19992	3067	6887	642	1789	1566	2079	985	3837	1805	698	1152	340	1547	8342	29	0	0
DenverNuggets	25	57	19914	3121	7025	687	1894	1358	1858	1020	3411	1936	658	1245	554	1775	8287	28	0	0
DetroitPistons	53	29	19811	3056	6655	604	1676	1389	1823	912	3425	1837	691	1074	472	1630	8105	29	0	0
GSWarriors	35	47	19816	3051	6953	657	1896	1464	1958	906	3503	1931	669	1062	400	1571	8223	37	0	0
HoustonRockets	37	45	19800	3184	7006	661	1800	1374	1771	875	3413	1858	694	1164	499	1674	8403	25	0	0
IndianaPacers	32	49	19593	2797	6658	440	1345	1314	1728	910	3311	1555	610	1055	458	1778	7348	48	0	0
LAClippers	26	56	19744	2834	6396	627	1682	1465	1956	891	3206	1812	606	1262	336	1712	7760	34	0	0
LALakers	37	45	19752	3253	7180	613	1718	1167	1594	947	3498	1918	696	1015	396	1891	8286	35	0	0
MemphisGrizzlies	26	56	19828	2748	6313	504	1489	1319	1763	845	3203	1599	602	1206	447	1643	7319	29	0	0
MiamiHeat	16	66	19893	2919	6632	624	1783	1329	1735	920	3289	1654	649	1206	262	1673	7791	35	0	0
MilwaukeeBucks	44	38	19841	3152	6946	529	1519	1398	1841	1019	3776	1893	658	1253	362	1567	8231	24	0	0
MinnesotaT-wolves	51	31	19739	3113	6660	576	1559	1243	1652	873	3455	1832	661	1258	479	1847	8045	30	0	0
BrooklynNets	33	49	19876	3066	6614	518	1414	1148	1571	876	3214	1756	614	1062	391	1751	7798	25	0	0
NOrleansHornets	55	27	19801	3030	6435	632	1688	1339	1764	835	3226	1915	648	1044	492	1534	8031	17	0	0
NYKnicks	28	54	19735	2916	6365	639	1789	1378	1821	825	3414	1580	523	1192	327	1576	7849	29	0	0
OrlandoMagic	62	20	19775	3169	6842	617	1722	1336	1811	888	3506	1947	592	989	430	1353	8291	21	0	0
Philadelphia76ers	48	34	19756	3017	6644	549	1574	1331	1753	903	3607	1870	590	1128	397	1331	7914	15	0	0
PhoenixSuns	57	25	19811	3181	6771	568	1464	1405	1855	958	3555	1870	685	1210	420	1511	8335	29	0	0
PortlandTrailBlazers	49	33	19869	3224	6807	521	1531	1286	1690	901	3479	1944	691	1039	359	1537	8255	19	0	0
SacramentoKings	54	28	19840	3222	6831	625	1762	1550	1980	973	3574	2058	625	1159	516	1636	8619	24	0	0
SanAntonioSpurs	24	58	19895	3079	6959	519	1470	1246	1639	912	3488	1756	675	1171	405	1565	7923	20	0	0
OklahomaCityThunder	22	60	19853	2966	6972	610	1762	1372	1773	988	3338	1681	672	1165	322	1698	7914	42	0	0
TorontoRaptors	48	34	19995	2971	6493	546	1511	1604	2148	877	3421	1796	578	1127	387	1650	8092	30	0	0
UtahJazz	39	43	19905	3003	6549	560	1513	1479	1953	900	3345	1689	641	1158	479	1670	8045	42	0	0
WashingtonWizards	53	29	19858	2944	6697	586	1680	1378	1867	903	3622	1767	639	1142	358	1569	7852	37	0	0
