Player	Team	PS	GP	Min	FGM	FGA	3M	3A	FTM	FTA	OR	TR	AS	ST	TO	BK	PF	DQ	PTS	TC	EJ	FF	Sta
"acy,quincy"	sac	SF	56	789	60	127	2	10	30	45	66	200	24	19	28	23	114	1	152	5	0	0	0
"acy,quincy"	tor	SF	7	63	6	14	2	5	5	8	5	15	4	4	2	3	8	0	19	0	0	0	0
"acy,quincy"	tot	SF	63	852	66	141	4	15	35	53	71	215	28	23	30	26	122	1	171	5	0	0	0
"adams,steven"	okl	C	81	1200	93	185	0	0	79	136	142	332	44	40	71	57	203	3	265	1	0	0	20
"adrien,jeff"	cha	SF	25	257	22	40	0	0	13	25	33	88	7	7	8	15	35	0	57	0	0	0	0
"adrien,jeff"	mil	SF	28	706	121	235	0	0	63	94	69	218	31	17	31	21	73	0	305	2	0	0	12
"adrien,jeff"	tot	SF	53	963	143	275	0	0	76	119	102	306	38	24	39	36	108	0	362	2	0	0	12
"afflalo,arron"	orl	SG	73	2550	464	1011	128	300	274	336	32	262	248	35	146	3	136	0	1330	4	0	0	73
"ajinca,alexis"	nor	C	56	952	136	250	0	1	56	67	94	277	40	23	63	46	187	3	328	0	0	0	30
"aldrich,cole"	nyk	C	46	336	33	61	0	0	26	30	37	129	14	8	18	30	40	0	92	0	0	0	2
"aldridge,lamarcu"	por	PF	69	2496	652	1423	3	15	296	360	166	766	178	64	122	69	147	1	1603	2	0	0	69
"allen,lavoy"	ind	C	14	113	17	34	0	0	6	10	13	34	6	2	4	6	11	0	40	0	0	0	0
"allen,lavoy"	phi	PF	51	955	117	265	2	13	27	40	106	277	65	22	41	27	115	1	263	0	0	0	2
"allen,lavoy"	tot	PF	65	1068	134	299	2	13	33	50	119	311	71	24	45	33	126	1	303	0	0	0	2
"allen,ray"	mia	SG	73	1937	240	543	116	309	105	116	23	205	143	54	83	8	115	0	701	0	0	0	9
"allen,tony"	mem	SG	55	1276	204	413	11	47	76	121	79	208	94	90	90	19	121	0	495	2	0	0	28
"aminu,al-farouq"	nor	SF	80	2044	234	494	13	48	91	137	130	497	114	82	88	37	147	1	572	0	0	0	65
"amundson,lou"	chi	PF	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"amundson,lou"	nor	PF	17	175	15	30	0	0	5	20	27	52	5	9	14	10	47	2	35	1	0	0	0
"amundson,lou"	tot	PF	18	176	15	30	0	0	5	20	27	52	5	9	14	10	47	2	35	1	0	0	0
"andersen,chris"	mia	C	72	1396	177	275	3	12	120	169	129	379	19	32	53	97	162	1	477	1	0	0	0
"anderson,alan"	bro	SG	78	1770	194	485	84	248	92	118	40	175	80	48	62	11	147	0	564	2	0	0	26
"anderson,james"	phi	SG	80	2307	309	717	115	351	77	106	59	300	150	74	106	28	154	0	810	0	0	0	62
"anderson,ryan"	nor	PF	22	795	155	354	67	164	59	62	65	141	17	10	20	7	47	0	436	1	0	0	14
"antetokounmpo,gi"	mil	SG	77	1899	173	418	41	118	138	202	78	339	149	60	122	61	173	2	525	2	0	0	23
"anthony,carmelo"	nyk	SF	77	2981	743	1644	167	415	459	541	144	621	239	96	198	51	224	0	2112	11	0	0	77
"anthony,joel"	bos	C	21	152	10	26	0	0	2	6	13	31	2	3	2	8	13	0	22	0	0	0	0
"anthony,joel"	mia	C	12	38	2	6	0	0	2	2	2	7	0	0	1	4	4	0	6	0	0	0	0
"anthony,joel"	tot	C	33	190	12	32	0	0	4	8	15	38	2	3	3	12	17	0	28	0	0	0	0
"antic,pero"	atl	PF	50	928	123	294	56	171	50	66	57	209	59	19	55	12	126	0	352	2	0	0	26
"ariza,trevor"	was	SF	77	2723	389	853	180	442	149	193	99	475	192	126	132	20	179	2	1107	4	0	0	77
"armstrong,hilton"	gsw	PF	15	100	9	19	0	0	7	16	19	47	5	4	6	4	11	1	25	0	0	0	1
"artest,ron"	nyk	SF	29	389	56	141	17	54	10	16	18	59	17	24	19	8	44	0	139	1	0	0	1
"arthur,darrell"	den	PF	69	1164	162	410	24	64	53	62	52	210	61	39	58	47	185	3	401	3	0	0	1
"asik,omer"	hou	C	48	964	101	190	0	0	78	126	102	379	27	14	59	37	92	1	280	0	0	0	19
"augustin,d.j."	chi	PG	61	1861	291	694	132	321	195	221	15	126	303	52	116	3	140	0	909	1	0	0	9
"augustin,d.j."	tor	PG	10	81	7	24	1	11	6	6	0	4	10	1	9	0	7	0	21	0	0	0	0
"augustin,d.j."	tot	PG	71	1942	298	718	133	332	201	227	15	130	313	53	125	3	147	0	930	1	0	0	9
"ayon,gustavo"	atl	PF	26	429	52	102	0	0	8	20	42	125	28	25	29	10	47	0	112	0	0	0	14
"ayres,jeff"	san	PF	73	952	101	174	0	0	38	55	89	257	60	13	63	25	146	0	240	0	0	0	10
"babb,chris"	bos	SG	14	135	8	30	6	27	0	0	4	17	3	6	3	0	13	0	22	0	0	0	0
"babbitt,luke"	nor	SF	27	473	60	154	36	95	14	18	18	88	29	7	15	11	52	0	170	0	0	0	2
"barbosa,leandro"	pho	PG	20	368	56	131	7	25	31	39	5	37	32	7	19	4	30	0	150	0	0	0	0
"barea,j.j."	min	PG	79	1470	254	656	73	231	79	100	16	154	304	26	124	0	129	0	660	4	0	0	1
"bargnani,andrea"	nyk	PF	42	1253	222	502	30	108	84	102	70	223	45	14	58	51	100	1	558	3	0	0	39
"barnes,harrison"	gsw	SF	78	2207	271	678	66	190	130	181	66	311	116	65	84	20	158	0	738	0	0	0	24
"barnes,matt"	lac	SF	63	1738	231	527	97	283	66	90	60	292	125	56	85	28	185	1	625	4	0	0	40
"barton,will"	por	SG	41	387	65	156	10	33	26	32	16	74	33	9	18	7	31	0	166	1	0	0	0
